[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (21ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (24ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (33ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/_0yn9lis._.js → 200 (33ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/node_modules_0q8cpq0._.js → 200 (56ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/components_0bu6998._.js → 200 (33ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0urkuvl._.js → 200 (33ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/node_modules_0tv_6ke._.js → 200 (56ms, ?B)
[2026-08-07T21:22:30.278Z] GET http://localhost:3000/_next/static/chunks/_01l_ofl._.js → 200 (56ms, 5274B)
[2026-08-07T21:22:30.333Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (2ms, ?B)
[2026-08-07T21:22:30.366Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
[2026-08-07T21:22:30.413Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_core_18d0oq6.js → 200 (20ms, ?B)
[2026-08-07T21:22:30.413Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_module_03rsyo6.js → 200 (14ms, ?B)
[2026-08-07T21:22:30.413Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0ojf1b1._.js → 200 (6ms, 4217B)
[2026-08-07T21:23:44.657Z] GET http://localhost:3000/bem-vindos → 200 (60ms, 8947B)
[2026-08-07T21:23:44.733Z] GET http://localhost:3000/_next/static/media/54fc36028e2bb174-s.p.20jfceqj9zyw9.woff2 → 200 (4ms, -302B)
[2026-08-07T21:23:44.737Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, -300B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/media/e4505858a30c79c2-s.p.0tlhhw_qyyfys.woff2 → 200 (?ms, -300B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__03lmwtq._.css → 200 (2ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (4ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (37ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (34ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (16ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (17ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → 200 (32ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → 200 (18ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (30ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (29ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (31ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/_0yn9lis._.js → 200 (30ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_0q8cpq0._.js → 200 (37ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/components_0bu6998._.js → 200 (35ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0urkuvl._.js → 200 (54ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/node_modules_0tv_6ke._.js → 200 (55ms, ?B)
[2026-08-07T21:23:44.738Z] GET http://localhost:3000/_next/static/chunks/_01l_ofl._.js → 200 (54ms, ?B)
[2026-08-07T21:23:44.792Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (8ms, ?B)
[2026-08-07T21:23:44.803Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
[2026-08-07T21:23:44.847Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_core_18d0oq6.js → 200 (23ms, ?B)
[2026-08-07T21:23:44.847Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_module_03rsyo6.js → 200 (18ms, ?B)
[2026-08-07T21:23:44.847Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0ojf1b1._.js → 200 (8ms, 4264B)
[2026-08-07T21:24:38.022Z] GET http://localhost:3000/bem-vindos → 200 (77ms, 8945B)
[2026-08-07T21:24:38.115Z] GET http://localhost:3000/_next/static/media/54fc36028e2bb174-s.p.20jfceqj9zyw9.woff2 → 200 (2ms, -302B)
[2026-08-07T21:24:38.117Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, -300B)
[2026-08-07T21:24:38.117Z] GET http://localhost:3000/_next/static/media/e4505858a30c79c2-s.p.0tlhhw_qyyfys.woff2 → 200 (?ms, -300B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__03lmwtq._.css → 200 (5ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (10ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (47ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (42ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (27ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (29ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → 200 (41ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → 200 (29ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (39ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (32ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (40ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/_0yn9lis._.js → 200 (40ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_0q8cpq0._.js → 200 (70ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/components_0bu6998._.js → 200 (70ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0urkuvl._.js → 200 (70ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/node_modules_0tv_6ke._.js → 200 (74ms, ?B)
[2026-08-07T21:24:38.118Z] GET http://localhost:3000/_next/static/chunks/_01l_ofl._.js → 200 (70ms, ?B)
[2026-08-07T21:24:38.187Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (6ms, ?B)
[2026-08-07T21:24:38.199Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, -209B)
[2026-08-07T21:24:38.252Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_core_18d0oq6.js → 200 (27ms, ?B)
[2026-08-07T21:24:38.253Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_module_03rsyo6.js → 200 (17ms, ?B)
[2026-08-07T21:24:38.253Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0ojf1b1._.js → 200 (8ms, ?B)
[2026-08-07T21:25:26.399Z] GET http://localhost:3000/bem-vindos?_rsc=f1oiv987wbQJ7LQQ → 200 (43ms, 4720B)
[2026-08-07T21:25:35.928Z] GET http://localhost:3000/bem-vindos?forcebloom=1 → 200 (56ms, 8977B)
[2026-08-07T21:25:35.996Z] GET http://localhost:3000/_next/static/media/54fc36028e2bb174-s.p.20jfceqj9zyw9.woff2 → 200 (2ms, -302B)
[2026-08-07T21:25:35.998Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, -300B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/media/e4505858a30c79c2-s.p.0tlhhw_qyyfys.woff2 → 200 (?ms, -300B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__03lmwtq._.css → 200 (1ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (3ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (41ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (38ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (22ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (23ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → 200 (38ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → 200 (24ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (33ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (32ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (38ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/_0yn9lis._.js → 200 (34ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_0q8cpq0._.js → 200 (55ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/components_0bu6998._.js → 200 (55ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0urkuvl._.js → 200 (55ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/node_modules_0tv_6ke._.js → 200 (62ms, ?B)
[2026-08-07T21:25:35.999Z] GET http://localhost:3000/_next/static/chunks/_01l_ofl._.js → 200 (55ms, 5417B)
[2026-08-07T21:25:36.053Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (8ms, ?B)
[2026-08-07T21:25:36.065Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
[2026-08-07T21:25:36.098Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_core_18d0oq6.js → 200 (23ms, ?B)
[2026-08-07T21:25:36.098Z] GET http://localhost:3000/_next/static/chunks/node_modules_three_build_three_module_03rsyo6.js → 200 (14ms, ?B)
[2026-08-07T21:25:36.098Z] GET http://localhost:3000/_next/static/chunks/components_landing_VineScene_tsx_0ojf1b1._.js → 200 (6ms, ?B)
[2026-08-07T21:25:59.500Z] GET http://localhost:3000/bem-vindos?forcebloom=1&_rsc=rzqUVWd_nVgGZAjq → 200 (41ms, 4745B)
[2026-08-07T21:26:10.113Z] GET http://localhost:3000/login → 200 (305ms, 5443B)
[2026-08-07T21:26:10.437Z] GET http://localhost:3000/_next/static/media/54fc36028e2bb174-s.p.20jfceqj9zyw9.woff2 → 200 (?ms, -302B)
[2026-08-07T21:26:10.440Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, -300B)
[2026-08-07T21:26:10.440Z] GET http://localhost:3000/_next/static/media/e4505858a30c79c2-s.p.0tlhhw_qyyfys.woff2 → 200 (?ms, -300B)
[2026-08-07T21:26:10.440Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__03lmwtq._.css → 200 (4ms, ?B)
[2026-08-07T21:26:10.440Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (8ms, ?B)
[2026-08-07T21:26:10.440Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/_1urspxg._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_0q8cpq0._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/components_0bu6998._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/node_modules_08crial._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.441Z] GET http://localhost:3000/_next/static/chunks/_0dsesfk._.js → pending (?ms, ?B)
[2026-08-07T21:26:10.510Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (10ms, ?B)
[2026-08-07T21:26:10.522Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
[2026-08-07T21:27:37.084Z] GET http://localhost:3000/login → pending (?ms, ?B)
